"","ID","places","lattitude","longitude"
"882","2021.c.5.3.lightning.3.1","Nomadic",7.7846664,4.4860983
"883","2021.c.5.3.lightning.3.6","Jingdezhen",29.3582395,117.2735595
"884","2021.c.5.3.lightning.3.7","Yingzhong",30.19993035,120.358091124662
"885","2021.c.5.4.1","Sparta",37.08114525,22.4248617827202
"886","2021.c.5.4.2","Cuama",40.8008247041112,72.339979130353
"887","2021.c.5.4.2","Namibia",-23.2335499,17.3231107
"888","2021.c.5.4.2","German Empire",52.3850079,9.7471906
"889","2021.c.5.4.2","Mutapa  Empire",NA,NA
"890","2021.c.5.4.2","Zambia",-14.5189121,27.5589884
"891","2021.c.5.4.2","Zimbabwe",-18.4554963,29.7468414
"892","2021.c.5.4.3","Wavre",50.7169694,4.610416
"893","2021.c.5.4.3","Wellington",-41.2887953,174.7772114
"894","2021.c.5.4.4","Paris",48.8588897,2.32004102172008
"895","2021.c.5.4.5","U.S.",51.4376108,7.3303862
"896","2021.c.5.4.5","Kuwait",29.3796532,47.9734174
"897","2021.c.5.4.5","Iraq",33.0955793,44.1749775
"898","2021.c.5.4.7","Oregon",43.9792797,-120.737257
"899","2021.c.5.4.8","Haiti",19.1399952,-72.3570972
"900","2021.c.5.extra.1","U.S.",51.4376108,7.3303862
"901","2021.c.5.extra.1","USSR",46.3421653,48.0254474
"902","2021.c.5.extra.1","Barry  Goldwater",33.57528,-112.57833
"903","2021.a.1.1.2","the United States",47.8287874669091,-122.598947831237
"904","2021.a.1.1.3","Iraq",33.0955793,44.1749775
"905","2021.a.1.1.7","Laos",20.0171109,103.378253
"906","2021.a.1.1.7","Thailand",14.8971921,100.83273
"907","2021.a.1.1.7","Myanmar",17.1750495,95.9999652
"908","2021.a.1.1.7","Canton",40.7985464,-81.3749508
"909","2021.a.1.1.9","Las Vegas",36.1672559,-115.148516
"910","2021.a.1.2.1","the Juliana Republic",NA,NA
"911","2021.a.1.2.1","Brazil",-10.3333333,-53.2
"912","2021.a.1.2.1","Nice",43.7009358,7.2683912
"913","2021.a.1.2.1","France",46.603354,1.8883335
"914","2021.a.1.2.1","the First Italian Republic",NA,NA
"915","2021.a.1.2.2","Oklahoma",34.9550817,-97.2684063
"916","2021.a.1.2.4","the United States",47.8287874669091,-122.598947831237
"917","2021.a.1.2.4","the United States",47.8287874669091,-122.598947831237
"918","2021.a.1.2.5","London",51.5074456,-0.1277653
"919","2021.a.1.2.7","Rome",41.8933203,12.4829321
"920","2021.a.1.2.7","Sicily",37.587794,14.155048
"921","2021.a.1.3.lightning.1.1","Oregon",43.9792797,-120.737257
"922","2021.a.1.3.lightning.1.1","Maine",45.709097,-68.8590201
"923","2021.a.1.3.lightning.1.2","Massachusetts",42.3788774,-72.032366
"924","2021.a.1.3.lightning.1.4","Washington",38.8950368,-77.0365427
"925","2021.a.1.3.lightning.1.4","Oregon",43.9792797,-120.737257
"926","2021.a.1.3.lightning.1.5","Hawaii",19.5938015,-155.428370097169
"927","2021.a.1.3.lightning.1.5","Oregon",43.9792797,-120.737257
"928","2021.a.1.3.lightning.1.6","Oregon",43.9792797,-120.737257
"929","2021.a.1.3.lightning.1.8","Oregon",43.9792797,-120.737257
"930","2021.a.1.3.lightning.2.1","the Soviet Union",44.423953,34.0547074
"931","2021.a.1.3.lightning.2.3","the United States",47.8287874669091,-122.598947831237
"932","2021.a.1.3.lightning.2.4","Crimea",51.5073833,-0.132677200000001
"933","2021.a.1.3.lightning.2.6","USSR",46.3421653,48.0254474
"934","2021.a.1.3.lightning.2.6","China",35.0000663,104.999955
"935","2021.a.1.3.lightning.2.7","Germany",51.1638175,10.4478313
"936","2021.a.1.4.1","Amahl",32.3306885294931,-111.011475052796
"937","2021.a.1.4.2","the Kingdom of  Morocco",52.51307835,13.3978968781105
"938","2021.a.1.4.2","France",46.603354,1.8883335
"939","2021.a.1.4.3","U.S.",51.4376108,7.3303862
"940","2021.a.1.4.4","Saigon",10.7763897,106.7011391
"941","2021.a.1.4.4","Vietnam",15.9266657,107.9650855
"942","2021.a.1.4.5","Alabama",33.2588817,-86.8295337
"943","2021.a.1.4.5","Alabama",33.2588817,-86.8295337
"944","2021.a.1.4.6","Burma",17.1750495,95.9999652
"945","2021.a.1.4.7","U.S.",51.4376108,7.3303862
"946","2021.a.1.4.8","Wendover",51.7676884,-0.7443215
"947","2021.a.1.4.8","Canterbury",51.2800275,1.0802533
"948","2021.a.1.4.8","England",52.5310214,-1.2649062
"949","2021.a.1.extra.1","Panipat",29.3912753,76.9771675
"950","2021.a.1.extra.1","Babur",36.4898622,5.5378293
"951","2021.a.2.1.1","Tupaia",40.8505792,14.2563398
"952","2021.a.2.1.1","Endeavour",52.1597603,-102.6565785
"953","2021.a.2.1.1","New Zealand",-41.5000831,172.8344077
"954","2021.a.2.1.1","Hawaii",19.5938015,-155.428370097169
"955","2021.a.2.1.2","U.S.",51.4376108,7.3303862
"956","2021.a.2.1.2","Louisiana",30.8703881,-92.007126
"957","2021.a.2.1.2","New York",40.7127281,-74.0060152
"958","2021.a.2.1.3","Sinope",41.6476377,34.9560137
"959","2021.a.2.1.3","Russia",64.6863136,97.7453061
"960","2021.a.2.1.6","Sphyrelaton",NA,NA
"961","2021.a.2.1.8","U.S.",51.4376108,7.3303862
"962","2021.a.2.1.8","Cambodia",12.5433216,104.8144914
"963","2021.a.2.1.9","Brazil",-10.3333333,-53.2
"964","2021.a.2.1.10","England",52.5310214,-1.2649062
"965","2021.a.2.2.1","U.S.",51.4376108,7.3303862
"966","2021.a.2.2.3","Callinicus",NA,NA
"967","2021.a.2.2.3","Heliopolis",-10.6753416,-38.2815308
"968","2021.a.2.2.3","Egypt",26.2540493,29.2675469
"969","2021.a.2.2.4","Ohio",40.2253569,-82.6881395
"970","2021.a.2.2.4","Tennessee",35.7730076,-86.2820081
"971","2021.a.2.2.5","Blue Rock",39.8000697,-81.8915241
"972","2021.a.2.2.5","U.S.",51.4376108,7.3303862
"973","2021.a.2.2.5","Virginia",37.1232245,-78.4927721
"974","2021.a.2.2.5","the District of Columbia",38.88905915,-77.0401699800873
"975","2021.a.2.2.6","Bernissart",50.4785984,3.69142600370965
"976","2021.a.2.2.8","Germany",51.1638175,10.4478313
"977","2021.a.2.3.lightning.1.4","Greenwich Village",40.7319802,-73.9965658
"978","2021.a.2.3.lightning.2.8","Wellington",-41.2887953,174.7772114
"979","2021.a.2.3.lightning.3.1","Japan",36.5748441,139.2394179
"980","2021.a.2.3.lightning.3.2","Japan",36.5748441,139.2394179
"981","2021.a.2.3.lightning.3.3","Japan",36.5748441,139.2394179
"982","2021.a.2.3.lightning.3.5","Beijing",40.190632,116.412144
"983","2021.a.2.3.lightning.3.5","China",35.0000663,104.999955
"984","2021.a.2.3.lightning.3.8","China",35.0000663,104.999955
"985","2021.a.2.3.lightning.3.8","Indochina",16.06998735,108.224549851757
"986","2021.a.2.4.1","Tungning Kingdom",NA,NA
"987","2021.a.2.4.1","the Republic of China",22.27565635,114.161415217301
"988","2021.a.2.4.4","Scotland",56.7861112,-4.1140518
"989","2021.a.2.4.5","the Gaza Strip",31.51373035,34.4398270742676
"990","2021.a.2.4.5","West Bank",44.9719278,-93.2463486
"991","2021.a.2.4.5","Israel",30.8124247,34.8594762
"992","2021.a.2.4.6","Virginia",37.1232245,-78.4927721
"993","2021.a.2.4.6","U.S.",51.4376108,7.3303862
"994","2021.a.2.4.7","U.S.",51.4376108,7.3303862
"995","2021.a.2.4.7","Wyoming",43.1700264,-107.568534
"996","2021.a.2.4.7","Idaho",43.6447642,-114.015407
"997","2021.a.2.4.7","Montana",47.3752671,-109.638757
"998","2021.a.2.4.8","Germanic",50.94057185,6.95865837670698
"999","2021.a.2.4.8","Reykjavík",64.145981,-21.9422367
"1000","2021.a.2.extra.1","Moscow",55.625578,37.6063916
"1001","2021.a.2.extra.1","Lithuania",55.3500003,23.7499997
"1002","2021.a.2.extra.1","Latvia",56.8406494,24.7537645
"1003","2021.a.3.1.2","New Jersey",40.0757384,-74.4041622
"1004","2021.a.3.1.3","North Korea",40.3736611,127.0870417
"1005","2021.a.3.1.4","Austria-Hungary",48.257986,14.4992625
"1006","2021.a.3.1.5","Grammys",32.3520448766641,-93.2190713418602
"1007","2021.a.3.1.6","Mindanao",7.68977865,125.23653125002
"1008","2021.a.3.1.9","Sweden",59.6749712,14.5208584
"1009","2021.a.3.1.9","New York",40.7127281,-74.0060152
"1010","2021.a.3.2.1","U.S.",51.4376108,7.3303862
"1011","2021.a.3.2.1","Mexico",19.4326296,-99.1331785
"1012","2021.a.3.2.2","U.S.",51.4376108,7.3303862
"1013","2021.a.3.2.3","Russia",64.6863136,97.7453061
"1014","2021.a.3.2.4","Vietnam",15.9266657,107.9650855
"1015","2021.a.3.2.5","California",36.7014631,-118.755997
"1016","2021.a.3.2.6","Rome",41.8933203,12.4829321
"1017","2021.a.3.2.6","Valentia",39.4697065,-0.3763353
"1018","2021.a.3.2.6","Corduba",-31.4166867,-64.1834193
"1019","2021.a.3.2.6","Toledo",39.8560679,-4.0239568
"1020","2021.a.3.3.lightning.1.4","New York",40.7127281,-74.0060152
"1021","2021.a.3.3.lightning.2.1","Hegemonic",NA,NA
"1022","2021.a.3.3.lightning.2.3","Pupienus",NA,NA
"1023","2021.a.3.3.lightning.2.3","Balbinus",NA,NA
"1024","2021.a.3.3.lightning.2.4","Rome",41.8933203,12.4829321
"1025","2021.a.3.3.lightning.2.7","Rome",41.8933203,12.4829321
"1026","2021.a.3.3.lightning.3.8","Xi'an",34.261004,108.9423363
"1027","2021.a.3.4.2","Morgante",45.5882626,11.3061419
"1028","2021.a.3.4.3","Pliny",38.620364,-81.9873601
"1029","2021.a.3.4.3","Italy",42.6384261,12.674297
"1030","2021.a.3.4.4","Katharina",50.0190467,14.5219993
"1031","2021.a.3.4.5","Iceland",64.9841821,-18.1059013
"1032","2021.a.3.4.5","Sweden",59.6749712,14.5208584
"1033","2021.a.3.4.5","Sicily",37.587794,14.155048
"1034","2021.a.3.4.5","U.S.",51.4376108,7.3303862
"1035","2021.a.3.4.5","Tripoli",32.896672,13.1777923
"1036","2021.a.3.4.6","Irula",43.40580085,-2.69965745
"1037","2021.a.3.4.7","Alton",38.8908583,-90.1843091
"1038","2021.a.3.4.7","Illinois",40.0796606,-89.4337288
"1039","2021.a.3.4.8","Geneva",46.2017559,6.1466014
"1040","2021.a.4.1.1","Richmond",37.5385087,-77.43428
"1041","2021.a.4.1.1","Bacon",31.5555512,-82.4442559
"1042","2021.a.4.1.1","Williamsburg",37.2708788,-76.7074042
"1043","2021.a.4.1.2","Netherlands",52.2434979,5.6343227
"1044","2021.a.4.1.2","Armada",42.8441964,-82.8843722
"1045","2021.a.4.1.3","Harijan",10.8556474,78.1212741
"1046","2021.a.4.1.4","Chalus",45.4657497,3.2098744
"1047","2021.a.4.1.4","France",46.603354,1.8883335
"1048","2021.a.4.1.5","Peru",-6.8699697,-75.0458515
"1049","2021.a.4.1.5","Lima",-12.0621065,-77.0365256
